"22/07/2024, 13:57:04",Linear Regression with PCA,-0.26346640883563843,0.014795001931235507,0.003117324132342336,10.814146706690938,674178.0871156442,105693563.82242648,0.059863267855440036,0.1975685731381364,0.2975177941020045
"22/07/2024, 13:57:04",Linear Regression with PCA,-0.26346640883563843,0.014795001931235507,0.003117324132342336,10.814146706690938,674178.0871156442,105693563.82242648,0.059863267855440036,0.1975685731381364,0.2975177941020045
"22/07/2024, 14:41:39",Random Forest,PCA,-0.038605031952534175,-0.015368310619086278,-0.26959764934950736,8.889533672836436,694818.9125236655,134607916.68741882,0.056555876704709906,0.1963677634711744,0.3404824264226149
"22/07/2024, 15:00:59",Linear Regression,PCA,-0.2632079636878595,0.014414505550039203,0.0025573336745911,10.811934646501472,674438.4616802599,105752936.2928476,0.05984797677563442,0.19765494960876304,0.2977426440427093
"22/07/2024, 15:02:53",Linear Regression,,-13.441018842351722,-8.13404377196203,-11.76650153632428,123.60225429277331,6250447.541255892,1353556519.3207643,0.18214400046717352,0.4061978237513949,0.7961022785767277
"22/07/2024, 15:05:08",Random Forest,PCA,-0.09199851127246039,-0.047710223890804704,-0.16110388845733925,9.346534282040176,716950.559506708,123104966.02052031,0.057725248863488524,0.20284798691080355,0.33251566651041936
"22/07/2024, 15:19:42",SVR,PCA,-0.0795036306278718,-0.012110123436639864,-0.10650076176877632,9.239589236704388,692589.3274054085,117315720.00865781,0.05713383288873421,0.1976211516133974,0.3200527383512043
"22/07/2024, 15:33:28",Ridge,PCA,-0.23500712011044445,0.04090725511918292,0.020656489214958662,10.570560552528006,656309.411115179,103833990.06422259,0.059399648322858906,0.19552872158605386,0.29640335604513124
"22/07/2024, 15:33:28",Ridge,PCA,-0.23500712011044445,0.04090725511918292,0.020656489214958662,10.570560552528006,656309.411115179,103833990.06422259,0.059399648322858906,0.19552872158605386,0.29640335604513124
"29/07/2024, 15:58:03",Ridge,,-0.2265040917574026,0.03142408127441543,0.04529055458533504,10.497782206053655,662798.7691827719,101222186.06415452,0.05902848402394729,0.19786995438252927,0.29674649806152975
"29/07/2024, 16:03:13",SVR,,-0.08237109476237192,-0.05104990898212791,-0.10568681625278131,9.264132174775243,719235.9138348433,117229422.18803622,0.057414067083770726,0.20264180483911928,0.3199582874204317
"05/08/2024, 21:42:28",Linear Regression,,-13.441018842351722,-8.13404377196203,-11.76650153632428,123.60225429277331,6250447.541255892,1353556519.3207643,0.18214400046717352,0.4061978237513949,0.7961022785767277
