Date & time,Method,Red limit,IR limit,R square of P,Mean squared error of P,Mean absolute percentage error of P
"08/08/2024, 01:17:26",Linear Regression,740,754,-0.17,"803,237.16",21.26%
"08/08/2024, 01:17:27",Linear Regression,740,756,-0.33,"911,833.28",21.86%
"08/08/2024, 01:17:28",Linear Regression,740,757,-0.34,"917,429.71",21.99%
"08/08/2024, 01:17:28",Linear Regression,740,758,-0.47,"1,002,756.80",23.36%
"08/08/2024, 01:17:28",Linear Regression,740,759,-0.49,"1,019,264.06",23.54%
"12/08/2024, 18:09:22",elastic_net,660,1426,0.06,"672,150.97",16.51%
"12/08/2024, 19:11:21",elastic_net,661,1426,0.06,"672,136.34",16.51%
"12/08/2024, 17:07:26",elastic_net,659,1426,0.06,"672,216.12",16.51%
"12/08/2024, 16:05:38",elastic_net,658,1426,0.06,"672,347.03",16.51%
"12/08/2024, 15:03:51",elastic_net,657,1426,0.06,"672,455.44",16.51%
"01/09/2024, 22:18:46",gradient_boost,730,1094,-0.12,"764,676.10",20.60%
"01/09/2024, 22:18:06",gradient_boost,730,1084,-0.12,"766,628.28",20.63%
"03/09/2024, 03:02:21",gradient_boost,737,1084,-0.12,"766,559.43",20.64%
"02/09/2024, 18:51:41",gradient_boost,735,1084,-0.12,"766,860.31",20.64%
"03/09/2024, 07:10:44",gradient_boost,738,1093,-0.12,"765,972.87",20.65%
"11/08/2024, 23:56:19",random_forrest,642,764,0.01,"679,799.94",19.96%
"13/08/2024, 16:42:04",random_forrest,680,1665,-0.03,"706,177.95",20.01%
"11/08/2024, 18:51:00",random_forrest,637,1300,-0.03,"702,782.86",20.25%
"12/08/2024, 08:36:59",random_forrest,650,1067,-0.12,"764,132.21",20.53%
"13/08/2024, 13:08:06",random_forrest,677,937,-0.20,"820,829.62",21.62%
"26/08/2024, 16:07:44",ridge,740,750,-0.09,"745,210.37",20.39%
"26/08/2024, 16:07:46",ridge,740,751,-0.09,"745,749.16",20.40%
"26/08/2024, 16:07:47",ridge,740,752,-0.09,"746,331.77",20.41%
"26/08/2024, 16:07:54",ridge,740,756,-0.09,"746,576.25",20.41%
"26/08/2024, 16:07:52",ridge,740,755,-0.09,"747,475.01",20.42%
"09/08/2024, 17:06:36",SVR,625,766,-0.18,"809,677.58",21.27%
"09/08/2024, 17:06:31",SVR,625,765,-0.18,"810,264.58",21.27%
"09/08/2024, 17:06:26",SVR,625,764,-0.19,"811,001.53",21.28%
"09/08/2024, 17:06:43",SVR,625,750,-0.20,"823,641.89",21.51%
"09/08/2024, 17:07:01",SVR,625,750,-0.20,"823,641.89",21.51%
